__time,/distances/data[0],/distances/data[1],/distances/data[2],/distances/data[3],/distances/data[4],/distances/data[5],/distances/layout/data_offset,AvgBoidDistance
1714651812.374780,0.822755602,0.586849805,0.591257877,0.559372868,0.602101606,0.822333556,0.000000000,0.666954428
1714651812.474813,0.822100244,0.586632908,0.591207832,0.559134609,0.602105248,0.822476859,0.000000000,0.666646995
1714651812.574080,0.821498088,0.586358706,0.591372617,0.558907167,0.602228931,0.822757340,0.000000000,0.666409804
1714651812.675318,0.820816373,0.586051392,0.591423289,0.558602219,0.602284788,0.822892840,0.000000000,0.666097018
1714651812.775031,0.820171241,0.585865128,0.591408367,0.558392983,0.602254850,0.823064269,0.000000000,0.665814912
1714651812.875266,0.819560955,0.585647787,0.591443876,0.558167546,0.602272871,0.823230423,0.000000000,0.665550872
1714651812.975425,0.818961367,0.585441635,0.591476326,0.557960375,0.602288904,0.823399495,0.000000000,0.665293109
1714651813.074010,0.818376445,0.585248831,0.591564586,0.557762163,0.602372715,0.823646843,0.000000000,0.665063288
1714651813.175321,0.817755697,0.585047879,0.591540202,0.557505834,0.602391716,0.823744681,0.000000000,0.664781259
1714651813.273998,0.817179212,0.584878456,0.591570388,0.557300751,0.602396642,0.823890687,0.000000000,0.664542685
1714651813.374926,0.816617098,0.584729945,0.591657526,0.557149952,0.602386752,0.824102159,0.000000000,0.664334856
1714651813.474190,0.816067003,0.584532969,0.591687066,0.556940518,0.602372379,0.824174266,0.000000000,0.664095680
1714651813.574687,0.815512538,0.584391617,0.591712565,0.556782097,0.602364370,0.824331573,0.000000000,0.663872240
1714651813.675544,0.814979713,0.584315461,0.591677202,0.556669902,0.602297189,0.824478644,0.000000000,0.663657459
1714651813.774266,0.814488289,0.584201267,0.591691660,0.556489257,0.602355998,0.824618372,0.000000000,0.663460405
1714651813.874810,0.814008197,0.584107711,0.591754345,0.556399612,0.602336607,0.824816016,0.000000000,0.663290084
1714651813.975091,0.813565960,0.584074199,0.591705760,0.556297793,0.602311407,0.824940621,0.000000000,0.663115307
1714651814.074070,0.813117570,0.583950022,0.591715476,0.556213824,0.602226100,0.825005903,0.000000000,0.662927689
1714651814.174489,0.812712593,0.583895143,0.591784437,0.556144237,0.602284772,0.825226687,0.000000000,0.662797391
1714651814.275626,0.812295713,0.583801824,0.591802576,0.556034150,0.602281295,0.825306972,0.000000000,0.662633371
1714651814.374139,0.811919907,0.583832069,0.591767197,0.555970938,0.602270705,0.825442932,0.000000000,0.662506391
1714651814.474424,0.811546173,0.583770674,0.591838379,0.555927268,0.602251770,0.825579283,0.000000000,0.662385075
1714651814.575930,0.811195852,0.583829774,0.591811502,0.555943028,0.602167548,0.825721387,0.000000000,0.662279043
1714651814.673999,0.810874936,0.583852685,0.591848958,0.555905678,0.602227851,0.825888769,0.000000000,0.662192193
1714651814.773961,0.810534907,0.583892941,0.591894627,0.555942371,0.602164503,0.826057287,0.000000000,0.662107492
1714651814.874091,0.810258468,0.583948710,0.591944627,0.555917467,0.602232671,0.826217075,0.000000000,0.662050602
1714651814.974019,0.809977047,0.584012590,0.592044483,0.555975475,0.602223992,0.826435242,0.000000000,0.662011373
1714651815.074139,0.809731404,0.584086644,0.592047538,0.556022984,0.602146115,0.826513474,0.000000000,0.661955196
1714651815.174651,0.809513209,0.584174286,0.592110268,0.556061651,0.602211079,0.826686548,0.000000000,0.661932588
1714651815.274042,0.809280044,0.584268716,0.592178360,0.556178558,0.602157645,0.826859014,0.000000000,0.661909040
1714651815.375086,0.809084864,0.584372351,0.592300669,0.556265633,0.602242359,0.827099531,0.000000000,0.661919295
1714651815.474048,0.808896818,0.584437242,0.592382355,0.556335342,0.602254894,0.827200166,0.000000000,0.661905472
1714651815.573999,0.808708921,0.584624286,0.592475785,0.556494743,0.602258935,0.827445698,0.000000000,0.661936331
1714651815.674321,0.808558958,0.584765133,0.592524892,0.556616400,0.602262455,0.827568515,0.000000000,0.661949661
1714651815.774047,0.808401016,0.584843115,0.592660938,0.556772843,0.602274512,0.827760094,0.000000000,0.661968356
1714651815.874130,0.808267827,0.584988814,0.592761763,0.556936262,0.602293065,0.827958634,0.000000000,0.662006135
1714651815.975675,0.808153100,0.585185613,0.592817734,0.557121467,0.602238916,0.828131749,0.000000000,0.662052149
1714651816.074618,0.808049066,0.585337939,0.592969740,0.557293501,0.602308227,0.828377110,0.000000000,0.662118915
1714651816.174002,0.807954927,0.585495064,0.593035410,0.557486098,0.602241169,0.828489716,0.000000000,0.662161800
1714651816.275055,0.807870732,0.585654685,0.593151390,0.557694342,0.602251099,0.828683314,0.000000000,0.662225603
1714651816.373981,0.807793875,0.585772429,0.593319638,0.557891344,0.602343173,0.828895772,0.000000000,0.662295314
1714651816.474207,0.807723906,0.586000313,0.593407264,0.558144439,0.602308705,0.829091350,0.000000000,0.662377161
1714651816.574092,0.807662379,0.586121849,0.593577251,0.558346168,0.602400012,0.829286392,0.000000000,0.662453826
1714651816.674166,0.807602898,0.586351987,0.593670632,0.558621737,0.602355780,0.829477457,0.000000000,0.662541839
1714651816.774016,0.807552015,0.586525957,0.593810711,0.558878030,0.602385649,0.829681460,0.000000000,0.662629561
1714651816.873994,0.807509044,0.586706047,0.594003678,0.559135204,0.602497751,0.829962538,0.000000000,0.662739590
1714651816.974015,0.807471774,0.586842074,0.594159120,0.559359213,0.602548561,0.830110342,0.000000000,0.662824323
1714651817.074507,0.807437622,0.587024837,0.594307952,0.559591937,0.602591626,0.830296800,0.000000000,0.662923470
1714651817.176111,0.807402772,0.587260794,0.594414513,0.559856162,0.602559079,0.830469056,0.000000000,0.663026026
1714651817.274444,0.807391091,0.587442577,0.594562745,0.560075297,0.602658947,0.830653139,0.000000000,0.663132138
1714651817.374158,0.807335404,0.587611083,0.594747638,0.560350481,0.602703189,0.830905648,0.000000000,0.663231375
1714651817.474704,0.807303223,0.587783320,0.594854585,0.560593785,0.602689430,0.831030409,0.000000000,0.663313709
